model_name,model_type,total_tiles,total_sram_mb,peak_compute_tflops,latency_ms,achieved_tflops,pcu_utilization_pct,total_energy_j,sram_spilled,pipeline_stalls,bottleneck,grid_dim,sram_mb_size,hbm_bandwidth_gb_s,bus_bandwidth_gb_s
DeepSeek-V3-MoE,moe,506944,128,1013.89,11.8335,579.27,57.1336,0.844136,Yes,846534,Compute Pipeline Bound (Balanced Design),712x712,128,2400,2400
LLaMA-3-70B,dense,506944,128,1013.89,21.7099,835.654,82.4208,0.797683,Yes,2238104,Compute Pipeline Bound (Balanced Design),712x712,128,2400,4800
DeepSeek-V3-MoE,moe,506944,128,1013.89,10.7565,637.265,62.8536,0.844136,Yes,846534,Compute Pipeline Bound (Balanced Design),712x712,128,2400,4800
LLaMA-3-70B,dense,506944,128,1013.89,21.4573,845.491,83.391,0.797683,Yes,2238104,Compute Pipeline Bound (Balanced Design),712x712,128,2400,9600
DeepSeek-V3-MoE,moe,506944,128,1013.89,10.2181,670.846,66.1657,0.844136,Yes,846534,Compute Pipeline Bound (Balanced Design),712x712,128,2400,9600
LLaMA-3-70B,dense,506944,128,1013.89,21.6785,836.865,82.5402,0.797683,Yes,2238104,Compute Pipeline Bound (Balanced Design),712x712,128,4800,2400
DeepSeek-V3-MoE,moe,506944,128,1013.89,10.7973,634.857,62.6161,0.844136,Yes,846534,Compute Pipeline Bound (Balanced Design),712x712,128,4800,2400
LLaMA-3-70B,dense,506944,128,1013.89,21.1733,856.831,84.5095,0.797683,Yes,2238104,Compute Pipeline Bound (Balanced Design),712x712,128,4800,4800
DeepSeek-V3-MoE,moe,506944,128,1013.89,9.72043,705.192,69.5532,0.844136,Yes,846534,Compute Pipeline Bound (Balanced Design),712x712,128,4800,4800
LLaMA-3-70B,dense,506944,128,1013.89,20.9207,867.176,85.5298,0.797683,Yes,2238104,Compute Pipeline Bound (Balanced Design),712x712,128,4800,9600
DeepSeek-V3-MoE,moe,506944,128,1013.89,9.18198,746.546,73.632,0.844136,Yes,846534,Compute Pipeline Bound (Balanced Design),712x712,128,4800,9600
LLaMA-3-70B,dense,506944,256,1013.89,23.1353,784.168,77.3427,0.775134,Yes,2238104,Compute Pipeline Bound (Balanced Design),712x712,256,1200,2400
DeepSeek-V3-MoE,moe,506944,256,1013.89,13.7528,498.428,49.1601,0.821587,Yes,846534,Compute Pipeline Bound (Balanced Design),712x712,256,1200,2400
