model_name,model_type,total_tiles,total_sram_mb,peak_compute_tflops,latency_ms,achieved_tflops,pcu_utilization_pct,total_energy_j,sram_spilled,pipeline_stalls,bottleneck,grid_dim,sram_per_tile_kb,compression,hbm_bandwidth_gb_s
DeepSeek-V3-MoE,moe,2304,144,2359.3,6.24239,1098.1,46.5435,0.4042,Yes,45398,NoC Expert Routing Congestion (NoC Bandwidth Limit),48x48,64,None,4800
LLaMA-3-70B,dense,2304,144,2359.3,9.14616,1983.56,84.0742,0.726574,Yes,120150,Compute Pipeline Bound (Balanced Design),48x48,64,FP8,1200
DeepSeek-V3-MoE,moe,2304,144,2359.3,4.75859,1440.5,61.0565,0.347453,Yes,45398,NoC Expert Routing Congestion (NoC Bandwidth Limit),48x48,64,FP8,1200
LLaMA-3-70B,dense,2304,144,2359.3,8.98997,2018.02,85.5349,0.726574,Yes,120150,Compute Pipeline Bound (Balanced Design),48x48,64,FP8,2400
DeepSeek-V3-MoE,moe,2304,144,2359.3,4.63874,1477.72,62.634,0.347453,Yes,45398,NoC Expert Routing Congestion (NoC Bandwidth Limit),48x48,64,FP8,2400
LLaMA-3-70B,dense,2304,144,2359.3,8.91187,2035.71,86.2845,0.726574,Yes,120150,Compute Pipeline Bound (Balanced Design),48x48,64,FP8,4800
DeepSeek-V3-MoE,moe,2304,144,2359.3,4.57882,1497.06,63.4537,0.347453,Yes,45398,NoC Expert Routing Congestion (NoC Bandwidth Limit),48x48,64,FP8,4800
LLaMA-3-70B,dense,2304,144,2359.3,8.41571,2155.72,91.3715,0.694147,Yes,120150,Compute Pipeline Bound (Balanced Design),48x48,64,INT4,1200
DeepSeek-V3-MoE,moe,2304,144,2359.3,3.78345,1811.78,76.7932,0.319079,Yes,45398,NoC Expert Routing Congestion (NoC Bandwidth Limit),48x48,64,INT4,1200
LLaMA-3-70B,dense,2304,144,2359.3,8.36874,2167.82,91.8843,0.694147,Yes,120150,Compute Pipeline Bound (Balanced Design),48x48,64,INT4,2400
DeepSeek-V3-MoE,moe,2304,144,2359.3,3.75917,1823.48,77.2892,0.319079,Yes,45398,NoC Expert Routing Congestion (NoC Bandwidth Limit),48x48,64,INT4,2400
LLaMA-3-70B,dense,2304,144,2359.3,8.34525,2173.92,92.1429,0.694147,Yes,120150,Compute Pipeline Bound (Balanced Design),48x48,64,INT4,4800
DeepSeek-V3-MoE,moe,2304,144,2359.3,3.74703,1829.39,77.5395,0.319079,Yes,45398,NoC Expert Routing Congestion (NoC Bandwidth Limit),48x48,64,INT4,4800
LLaMA-3-70B,dense,2304,288,2359.3,10.4825,1730.68,73.3558,0.766061,Yes,120150,Compute Pipeline Bound (Balanced Design),48x48,128,None,1200
DeepSeek-V3-MoE,moe,2304,288,2359.3,6.56629,1043.93,44.2476,0.378833,Yes,45398,NoC Expert Routing Congestion (NoC Bandwidth Limit),48x48,128,None,1200
LLaMA-3-70B,dense,2304,288,2359.3,10.1702,1783.84,75.609,0.766061,Yes,120150,Compute Pipeline Bound (Balanced Design),48x48,128,None,2400
DeepSeek-V3-MoE,moe,2304,288,2359.3,6.32659,1083.48,45.9241,0.378833,Yes,45398,NoC Expert Routing Congestion (NoC Bandwidth Limit),48x48,128,None,2400
LLaMA-3-70B,dense,2304,288,2359.3,10.014,1811.66,76.7883,0.766061,Yes,120150,Compute Pipeline Bound (Balanced Design),48x48,128,None,4800
DeepSeek-V3-MoE,moe,2304,288,2359.3,6.20674,1104.41,46.8109,0.378833,Yes,45398,NoC Expert Routing Congestion (NoC Bandwidth Limit),48x48,128,None,4800
LLaMA-3-70B,dense,2304,288,2359.3,9.02164,2010.94,85.2346,0.701207,Yes,120150,Compute Pipeline Bound (Balanced Design),48x48,128,FP8,1200
DeepSeek-V3-MoE,moe,2304,288,2359.3,4.616,1485,62.9426,0.322086,Yes,45398,NoC Expert Routing Congestion (NoC Bandwidth Limit),48x48,128,FP8,1200
LLaMA-3-70B,dense,2304,288,2359.3,8.92771,2032.09,86.1314,0.701207,Yes,120150,Compute Pipeline Bound (Balanced Design),48x48,128,FP8,2400
DeepSeek-V3-MoE,moe,2304,288,2359.3,4.56745,1500.79,63.6117,0.322086,Yes,45398,NoC Expert Routing Congestion (NoC Bandwidth Limit),48x48,128,FP8,2400
LLaMA-3-70B,dense,2304,288,2359.3,8.88074,2042.84,86.5869,0.701207,Yes,120150,Compute Pipeline Bound (Balanced Design),48x48,128,FP8,4800
DeepSeek-V3-MoE,moe,2304,288,2359.3,4.54317,1508.81,63.9516,0.322086,Yes,45398,NoC Expert Routing Congestion (NoC Bandwidth Limit),48x48,128,FP8,4800
LLaMA-3-70B,dense,2304,288,2359.3,8.4168,2155.44,91.3596,0.687302,No,120150,Compute Pipeline Bound (Balanced Design),48x48,128,INT4,1200
DeepSeek-V3-MoE,moe,2304,288,2359.3,3.79377,1806.85,76.5842,0.316261,No,45398,NoC Expert Routing Congestion (NoC Bandwidth Limit),48x48,128,INT4,1200
LLaMA-3-70B,dense,2304,288,2359.3,8.36928,2167.68,91.8783,0.687302,No,120150,Compute Pipeline Bound (Balanced Design),48x48,128,INT4,2400
DeepSeek-V3-MoE,moe,2304,288,2359.3,3.76433,1820.98,77.1832,0.316261,No,45398,NoC Expert Routing Congestion (NoC Bandwidth Limit),48x48,128,INT4,2400
LLaMA-3-70B,dense,2304,288,2359.3,8.34553,2173.85,92.1399,0.687302,No,120150,Compute Pipeline Bound (Balanced Design),48x48,128,INT4,4800
DeepSeek-V3-MoE,moe,2304,288,2359.3,3.74961,1828.13,77.4862,0.316261,No,45398,NoC Expert Routing Congestion (NoC Bandwidth Limit),48x48,128,INT4,4800
LLaMA-3-70B,dense,2304,576,2359.3,10.091,1797.84,76.2024,0.715327,Yes,120150,Compute Pipeline Bound (Balanced Design),48x48,256,None,1200
DeepSeek-V3-MoE,moe,2304,576,2359.3,6.19279,1106.89,46.9163,0.328099,Yes,45398,NoC Expert Routing Congestion (NoC Bandwidth Limit),48x48,256,None,1200
LLaMA-3-70B,dense,2304,576,2359.3,9.97437,1818.86,77.0932,0.715327,Yes,120150,Compute Pipeline Bound (Balanced Design),48x48,256,None,2400
DeepSeek-V3-MoE,moe,2304,576,2359.3,6.13984,1116.44,47.3209,0.328099,Yes,45398,NoC Expert Routing Congestion (NoC Bandwidth Limit),48x48,256,None,2400
LLaMA-3-70B,dense,2304,576,2359.3,9.91607,1829.55,77.5464,0.715327,Yes,120150,Compute Pipeline Bound (Balanced Design),48x48,256,None,4800
DeepSeek-V3-MoE,moe,2304,576,2359.3,6.11337,1121.28,47.5259,0.328099,Yes,45398,NoC Expert Routing Congestion (NoC Bandwidth Limit),48x48,256,None,4800
LLaMA-3-70B,dense,2304,576,2359.3,8.88128,2042.72,86.5816,0.687517,No,120150,Compute Pipeline Bound (Balanced Design),48x48,256,FP8,1200
DeepSeek-V3-MoE,moe,2304,576,2359.3,4.54833,1507.1,63.879,0.316448,No,45398,NoC Expert Routing Congestion (NoC Bandwidth Limit),48x48,256,FP8,1200
LLaMA-3-70B,dense,2304,576,2359.3,8.85753,2048.19,86.8138,0.687517,No,120150,Compute Pipeline Bound (Balanced Design),48x48,256,FP8,2400
DeepSeek-V3-MoE,moe,2304,576,2359.3,4.53361,1511.99,64.0864,0.316448,No,45398,NoC Expert Routing Congestion (NoC Bandwidth Limit),48x48,256,FP8,2400
LLaMA-3-70B,dense,2304,576,2359.3,8.84565,2050.95,86.9304,0.687517,No,120150,Compute Pipeline Bound (Balanced Design),48x48,256,FP8,4800
DeepSeek-V3-MoE,moe,2304,576,2359.3,4.52625,1514.45,64.1906,0.316448,No,45398,NoC Expert Routing Congestion (NoC Bandwidth Limit),48x48,256,FP8,4800
LLaMA-3-70B,dense,2304,576,2359.3,8.36928,2167.68,91.8783,0.687302,No,120150,Compute Pipeline Bound (Balanced Design),48x48,256,INT4,1200
DeepSeek-V3-MoE,moe,2304,576,2359.3,3.76433,1820.98,77.1832,0.316261,No,45398,NoC Expert Routing Congestion (NoC Bandwidth Limit),48x48,256,INT4,1200
LLaMA-3-70B,dense,2304,576,2359.3,8.34553,2173.85,92.1399,0.687302,No,120150,Compute Pipeline Bound (Balanced Design),48x48,256,INT4,2400
