model_name,model_type,total_tiles,total_sram_mb,peak_compute_tflops,latency_ms,compute_time_ms,weight_stream_time_ms,noc_total_latency_ms,act_spill_time_ms,achieved_tflops,pcu_utilization_pct,total_energy_j,sram_spilled,bottleneck,grid_dim,sram_mb_size,hbm_bandwidth_gb_s,bus_bandwidth_gb_s
DeepSeek-V3-MoE,moe,65536,256.0,131.072,671.0881280000001,669.0133333333334,0.9813333333333333,1.0769066666666667,0.114688,94.0800717773985,71.77739851180915,2.228618264576,True,Compute Pipeline Bound (Balanced Design),256x256,256.0,4800.0,4800.0
LLaMA-3-70B,dense,65536,256.0,131.072,144.93013333333332,144.17919999999998,0.39594666666666667,0.2525866666666667,0.14199466666666666,125.17715564766839,95.50259067357511,0.7751342227456,True,Compute Pipeline Bound (Balanced Design),256x256,256.0,4800.0,9600.0
DeepSeek-V3-MoE,moe,65536,256.0,131.072,670.5496746666668,669.0133333333334,0.9813333333333333,0.5384533333333333,0.114688,94.15561834786543,71.83503597096667,2.228618264576,True,Compute Pipeline Bound (Balanced Design),256x256,256.0,4800.0,9600.0
LLaMA-3-70B,dense,262144,64.0,524.288,39.27790933333332,36.044799999999995,1.5837866666666667,1.0103466666666667,0.7973546666666667,461.88664738598453,88.09788654060068,0.8089570902016,True,Compute Pipeline Bound (Balanced Design),512x512,64.0,1200.0,2400.0
DeepSeek-V3-MoE,moe,262144,64.0,524.288,173.62807466666672,167.25333333333336,3.925333333333333,2.1538133333333334,0.688128,363.62794077172884,69.35652556833817,2.2624411320320004,True,Compute Pipeline Bound (Balanced Design),512x512,64.0,1200.0,2400.0
LLaMA-3-70B,dense,262144,64.0,524.288,38.77273599999999,36.044799999999995,1.5837866666666667,0.5051733333333334,0.7973546666666667,467.90460849355594,89.2457215296852,0.8089570902016,True,Compute Pipeline Bound (Balanced Design),512x512,64.0,1200.0,4800.0
DeepSeek-V3-MoE,moe,262144,64.0,524.288,172.55116800000005,167.25333333333336,3.925333333333333,1.0769066666666667,0.688128,365.89737399633236,69.78938560415885,2.2624411320320004,True,Compute Pipeline Bound (Balanced Design),512x512,64.0,1200.0,4800.0
LLaMA-3-70B,dense,262144,64.0,524.288,38.52014933333332,36.044799999999995,1.5837866666666667,0.2525866666666667,0.7973546666666667,470.9727810583774,89.8309290043597,0.8089570902016,True,Compute Pipeline Bound (Balanced Design),512x512,64.0,1200.0,9600.0
DeepSeek-V3-MoE,moe,262144,64.0,524.288,172.0127146666667,167.25333333333336,3.925333333333333,0.5384533333333333,0.688128,367.04274665711523,70.00784810201935,2.2624411320320004,True,Compute Pipeline Bound (Balanced Design),512x512,64.0,1200.0,9600.0
LLaMA-3-70B,dense,262144,64.0,524.288,38.16652799999999,36.044799999999995,0.7918933333333333,1.0103466666666667,0.39867733333333333,475.3364481648423,90.66323245331617,0.8089570902016,True,Compute Pipeline Bound (Balanced Design),512x512,64.0,2400.0,2400.0
